SNO,JOB TITLE,JOB SKILLS,JOB DESCRIPTION
1,It Recruiter,"US IT Recruitment, IT Recruitment","Job Title: US IT Recruiter
Location: (Bengaluru)
Position Type: Full-Time
Experience: 5+ years recruiting experience, including 3+ years in IT recruitment
Key Focus: Recruiting for US-based IT positions.
Role Scope: Manage full-cycle recruitment, including sourcing, screening, and presenting qualified candidates.
Strategy: Develop and execute creative sourcing strategies using social media, job boards, networking, and referrals.
Ideal Candidate: Strong background in recruiting IT professionals, technical knowledge, and a results-driven mindset.
Requirements: Expertise in IT roles (software development, infrastructure, cybersecurity, cloud, etc.) and proven ability to source passive candidates.
Preferred: Bachelor's degree and experience recruiting for enterprise-level technology organizations."
2,It Recruiter,"Sourcing Profiles, End To End Recruitment, Screening","We are looking for a dynamic and results-driven US IT Recruiter to join our talent acquisition team. The ideal candidate will have experience in end-to-end recruitment processes for US clients, especially within the IT domain.

Key Responsibilities:

Handle the full recruitment cycle: sourcing, screening, interviewing, negotiating, and closing candidates.
Work on W2, C2C, and 1099 employment types.
Source candidates using job boards like Dice, Monster, CareerBuilder, and social platforms like LinkedIn.
Coordinate with hiring managers and understand job requirements.
Maintain a strong pipeline of qualified candidates.
Schedule interviews and follow up with candidates and clients.
Maintain ATS and prepare regular recruitment reports.
Requirements:

3 to 5 years of experience in US IT recruitment.
Strong knowledge of US work authorizations (H1B, GC, USC, TN, etc.).
Hands-on experience with sourcing and screening tools.
Excellent communication and negotiation skills.
Willingness to work in night shifts.
Good to Have:

Experience working with implementation partners or direct clients.
Familiarity with tax terms and visa classifications.
Benefits:

Competitive salary + incentives
Health insurance (if applicable)
Friendly and supportive team culture"
3,It Recruiter,"IT Recruitment, End To End Recruitment, 
Technical Recruitment, Talent Acquisition, Interpersonal Skills","Job Title: Recruiter Tech Hiring (Contractual 6 Months, Extendable

to Full-Time)

Location: Bangalore - Hybrid
Contract Duration: 6 Months (Convertible to Full-Time based on performance)
Experience - 1 to 3 years


Key Responsibilities

End-to-end recruitment for technology and product roles across multiple levels.
Partner with hiring managers and stakeholders to understand role requirements and business priorities.
Develop and execute creative sourcing strategies headhunting, networking, social recruiting, referrals, and market mapping.
Utilize ATS systems and job portals (LinkedIn, Naukri, Indeed, etc.) effectively for candidate management and tracking.
Maintain a robust candidate pipeline through proactive engagement and market intelligence.
Requirements

Proven experience in IT/Product/Startup hiring within a staffing or consulting environment.
Strong expertise in headhunting, Boolean searches, and leveraging multiple sourcing platforms.
Hands-on experience with ATS tools and job portals.
Excellent communication, stakeholder management, and decision-making skills.
Ability to work in a fast-paced, deadline-driven setup.
Innovative thinker with a passion for delivering solutions and results."
4,It Recruiter,"IT Recruitment, C2H, IT Staffing, End To End Recruitment, Domestic Staffing, Technical Recruitment, Talent Acquisition, Recruitment","Hello,

JoulestoWatts is hiring!


Role : IT Recruiter


Experience : 1 Year to 3 years


Positions open: 10


Work Mode : Only Work from Office/ No Hybrid Mode


Interview Mode : Only F2F / No virtual interviews


Notice Period : Immediate joiners or 15 days max


Work Location : Marathahalli, Bangalore


Criteria :


- Should have experience in IT Recruitment

- C2H hiring is must / Client Hiring Experience is must.

- Should know Boolean search.

- Handling End-to-End Core IT Recruitment Life Cycle


Our Official website : www.joulestowatts.com
"
5,It Recruiter,"Sourcing Profiles, End To End Recruitment, 
Screening","We are looking for a dynamic and results-driven US IT Recruiter to join our talent acquisition team. The ideal candidate will have experience in end-to-end recruitment processes for US clients, especially within the IT domain.

Key Responsibilities:

Handle the full recruitment cycle: sourcing, screening, interviewing, negotiating, and closing candidates.
Work on W2, C2C, and 1099 employment types.
Source candidates using job boards like Dice, Monster, CareerBuilder, and social platforms like LinkedIn.
Coordinate with hiring managers and understand job requirements.
Maintain a strong pipeline of qualified candidates.
Schedule interviews and follow up with candidates and clients.
Maintain ATS and prepare regular recruitment reports.
Requirements:

3 to 5 years of experience in US IT recruitment.
Strong knowledge of US work authorizations (H1B, GC, USC, TN, etc.).
Hands-on experience with sourcing and screening tools.
Excellent communication and negotiation skills.
Willingness to work in night shifts.
Good to Have:

Experience working with implementation partners or direct clients.
Familiarity with tax terms and visa classifications.
Benefits:

Competitive salary + incentives
Health insurance (if applicable)
Friendly and supportive team culture"
6,It Recruiter,"IT Recruitment, Technical Hiring, Contract Hiring, Permanent Hiring, Contract To Hire, End To End Recruitment, C2H, IT Hiring, Domestic Staffing, Technical Recruitment, Talent Acquisition","Experience: 1 to 8Years
Work Mode: Full-time, Work from Home (Remote)
Industry Focus: IT Recruitment (C2H / Perm)
Salary Range: 10,000 20,000 per month (Gross) + Mobile Bill + Incentives
Eligibility: Female candidates only (Career Break / Gap Year Accepted)

Responsibilities

Manage end-to-end recruitment lifecycle including sourcing, screening, scheduling, and selection.
Demonstrate expertise in sourcing candidates through job portals (Naukri, Shine, etc.).
Build and manage high-volume recruiting and staffing operations.
Review resumes and job applications to shortlist suitable candidates.
Achieve daily/weekly hiring targets.
Stay updated on recruiting trends, market intelligence, and best practices.
Ensure hiring practices comply with applicable laws and company policies.
Skills & Experience Required

Recruitment Experience: 1 - 8years in IT Recruitment.
Domain Knowledge: C2H and Perm Hiring
Excellent sourcing and screening skills.
Strong communication & interpersonal skills (verbal, written, and presentation).
Team player with the ability to handle multiple requirements independently.
Work Requirements

A personal laptop/desktop with good configuration.
High-speed internet connection.
Ability to work exclusively (No dual employment allowed).
Work Schedule

Timings: 9:30 AM 6:30 PM
Working Days: Monday to Saturday (2nd & 4th Saturday off).
Compensation

Fixed Salary: 10,000 18,000 per month (Gross).
Additional Benefits: Mobile bill reimbursement + Incentives.
Final salary will be decided after the interview process.
Selection Process

Online Test (Mandatory)
L1 Interview: Video Call
L2 Interview: Video Call
Document Submission
Background Verification (BGV)
Location: Open to candidates across India (Remote).


Company Details:

Orcapod is an IT industry-focused Staffing & Recruitment company founded by senior industry professionals coming from reputed international companies. Orcapod has a top-class client base in the Indian IT industry. Orcapod is a fast-growing organization and has operations in Bangalore, Hyderabad, Mumbai, Pune, and NCR. We have a track record of growth and profitability across the 10 years since our inception."
7,It Recruiter,"Sourcing Profiles, End To End Recruitment, Screening","We are looking for a dynamic and results-driven US IT Recruiter to join our talent acquisition team. The ideal candidate will have experience in end-to-end recruitment processes for US clients, especially within the IT domain.

Key Responsibilities:

Handle the full recruitment cycle: sourcing, screening, interviewing, negotiating, and closing candidates.
Work on W2, C2C, and 1099 employment types.
Source candidates using job boards like Dice, Monster, CareerBuilder, and social platforms like LinkedIn.
Coordinate with hiring managers and understand job requirements.
Maintain a strong pipeline of qualified candidates.
Schedule interviews and follow up with candidates and clients.
Maintain ATS and prepare regular recruitment reports.
Requirements:

3 to 5 years of experience in US IT recruitment.
Strong knowledge of US work authorizations (H1B, GC, USC, TN, etc.).
Hands-on experience with sourcing and screening tools.
Excellent communication and negotiation skills.
Willingness to work in night shifts.
Good to Have:

Experience working with implementation partners or direct clients.
Familiarity with tax terms and visa classifications.
Benefits:

Competitive salary + incentives
Health insurance (if applicable)
Friendly and supportive team culture"
8,Team Lead- IT Recruitment,"IT Recruitment, Team Leading, IT Hiring, Technical Recruitment","Requirements:

• Supervise and mentor a team of recruiters, ensuring they meet individual and team goals.

• Build and maintain strong relationships with clients to understand their staffing needs.

• Ensure high levels of client satisfaction through timely and effective communication

• Develop and implement recruitment strategies to attract top talent.

• Present qualified candidates to clients, including comprehensive candidate profiles and assessments.

• Coordinate and facilitate client interviews, providing feedback and guidance to both parties.

• Track and report on recruitment metrics such as time-to-fill, cost-per-hire, and quality of hire.

• Identify areas for process improvement and implement enhancements to optimize efficiency.


Qualifications:

• Bachelor's degree in Human Resources, Business, or a related field (Master's degree preferred).

• Proven experience in the staffing industry with a track record of successful talent acquisition.

• Strong leadership and team management skills.

• Excellent communication and interpersonal skills.

• Knowledge of employment laws and regulations.

• Proficiency in using recruitment software and applicant tracking systems.

• Ability to work in a fast-paced, dynamic environment and adapt to changing priorities.
"
9,Lead It Recruiter,"IT Recruitment, Team Handling, End To End Recruitment, Technical Recruitment, Talent Acquisition","We are hiring for Lead IT Recruiter with below skill set:
Candidate Sourcing, Screening and Evaluation, Relationship Building, Job Posting and Advertising, Employer Branding. Team handling experience with minimum 2 yrs on paper."
10,Lead It Recruiter,"Domestic Staffing, IT Staffing, Technical Recruitment, Permanent Staffing","We're a human capital specialist firm, providing talent supply and talent management solutions to Big4s | Fortune & Global Enterprises | IT/ITES | Technology | Telecommunications | BFSI | Ecommerce | Intellectual Property | Innovative Start-ups.


On our panel, we have a unique mix of exhilarating professionals who come from different industry verticals and possess the expertise to deliver the best handpicked talent with a quick turnaround especially in case of hiring for niche as well as generic technology skillsets. Our wealthy domain as well as functional knowledge allows us to talk the same language with our clients and understand their business requirement clearly which, in turn, saves their time and provides the best in class valuable hiring solutions. Our firm remains on the cutting edge of recruitment trends. We stay well-informed and continually adapt to the ever-changing world of human resources. Our firm guarantees efficient, honest talent solutions that achieve

remarkable results.


Our consistent record of uncompromising ethics instills confidence and trust. Our consulting services focus on the client's most critical issues and opportunities in the talent space. We help companies manage their talent needs. We are a company that focuses on building talent ecosystem. We create, integrate and optimize the Talent Supply Chain for organizations.Who should join us:
The ideal candidate will have a combination of 4 aspects(i) Inclination to make a mark in the field of Human Resources (Talent Acquisition)(ii) Excellent relationship management / people engagement skills(iii) Superior communication skills(iv) Ability to work in tight deadlines


Job description:

Sourcing candidates using Job portals, social media etc.
Assessing the candidates as per the job mandate
Lining up of candidates for Interview
Follow up on the interview status and managing candidate pipeline
Managing the online job postings, social media presence etc.
Desired Experience: 5 Years - 7 Years5 years of experience in IT/ Technical Recruitment, working with Executive Search Firms / Staffing FirmsWill prefer candidates with good exposure to Technology / IT / Semiconductor / Telecom domain hiring


Benefits:

Work with tier1 clients
Best in class salary & incentives
Excellent work culture & environment
Learn with the leaders
5 days working
Day shift
Health / medical coverage / Insurance
Retiral benefits
Opposite to Noida electronic city metro station"
